TIME	     NODE ID   CLOCK_T	CPU	  LPM	        TX	  RX
05:40.557	ID:1	43526	757	326922		0	327679
05:40.889	ID:5	43526	743	326936		0	327679
05:41.074	ID:3	43526	750	326928		0	327679
05:50.411	ID:2	44806	757	326922		0	327680
05:50.522	ID:4	44806	751	326928		0	327680
05:50.557	ID:1	44806	757	326922		0	327680
05:50.888	ID:5	44806	744	326936		0	327679
05:51.074	ID:3	44806	744	326935		0	327679
06:00.411	ID:2	46086	751	326928		0	327679
06:00.522	ID:4	46086	755	326923		0	327680
06:00.642	ID:1	46096	4912	325563		31	330444
06:01.074	ID:3	46086	744	326935		0	327680
06:10.411	ID:2	47366	7614	320065		62	327617
06:10.523	ID:4	47366	8341	319337		0	327679
06:10.557	ID:1	47366	7637	317247		63	324820
06:11.074	ID:3	47366	3452	324228		31	327648
06:20.411	ID:2	48646	766	326912		0	327679
06:20.522	ID:4	48646	802	326876		23	327655
06:20.557	ID:1	48646	774	326905		0	327679
06:20.889	ID:5	48646	781	326898		0	327679
06:21.074	ID:3	48646	756	326923		0	327679
06:30.411	ID:2	49926	751	326928		0	327679
06:30.522	ID:4	49926	745	326935		0	327679
06:30.557	ID:1	49926	765	326914		0	327680
06:30.889	ID:5	49926	750	326929		0	327679
06:31.074	ID:3	49926	744	326935		0	327679
06:40.411	ID:2	51206	751	326928		0	327680
06:40.522	ID:4	51206	735	326945		0	327679
06:40.557	ID:1	51206	757	326922		0	327679
06:40.889	ID:5	51206	757	326923		0	327679
06:41.074	ID:3	51206	744	326935		0	327680
06:50.411	ID:2	52486	814	326865		23	327656
06:50.522	ID:4	52486	735	326945		0	327679
06:50.557	ID:1	52486	770	326909		0	327680
06:50.889	ID:5	52486	741	326938		0	327679
06:51.074	ID:3	52486	815	326864		23	327657
07:00.411	ID:2	53766	758	326921		0	327680
07:00.522	ID:4	53766	747	326933		0	327679
07:00.642	ID:1	53776	4912	325563		31	330444
07:01.074	ID:3	53766	745	326934		0	327679
07:10.411	ID:2	55046	7612	320066		62	327617
07:10.523	ID:4	55046	8340	319339		0	327679
07:10.557	ID:1	55046	7645	317239		63	324820
07:11.074	ID:3	55046	3449	324229		31	327648
